Id,age,domain1_var1,domain1_var2,domain2_var1,domain2_var2
10003,50.110107,52.97611,60.359337,50.32298,54.23366
10006,66.22944,58.813416000000004,59.485985,49.15972,48.798428
10010,35.001903999999996,46.256855,57.89885699999999,46.180374,54.215275
10011,53.403004,51.263294,61.2359,47.989994,48.134815
10012,60.659133999999995,57.48768199999999,59.292664,48.53588,54.18379
10013,51.132329999999996,50.302948,67.920906,47.503155,56.266525
10014,42.143326,47.465176,60.13925,47.360659999999996,45.727990000000005
10016,48.931877,51.537582,56.032830000000004,48.332237,57.79393
10018,49.726955,53.072655000000005,65.42505,50.191624,47.421528
10020,62.476578,56.35341999999999,64.46979499999999,46.63459,50.154865
10021,55.321163,54.888144999999994,59.82555,50.842471999999994,49.111652
10022,51.668724,53.180637,64.94824,50.848473,52.878634999999996
10023,38.86967,47.289642,62.1492,46.361134,54.859085
10024,29.526459999999997,43.27063,60.949290000000005,49.08574,51.539623
10027,46.8293,53.528736,54.994816,49.434684999999995,54.14434
10028,58.20110699999999,53.76809300000001,63.49228299999999,44.985657,59.090796999999995
10029,61.6985,56.934566000000004,54.302567,48.437374,51.069866
10030,50.915405,54.913647,52.312614,51.433479999999996,50.226757
10033,42.402725,49.323017,60.12185699999999,47.69003,45.944424
10034,44.14674,45.760059999999996,64.24888,46.297646,52.91175500000001
10035,64.363846,57.986793999999996,58.428782999999996,48.338406,49.739998
10036,43.051575,49.760709999999996,58.505919999999996,47.106087,52.108124
10037,57.52514,56.942005,56.326824,50.83486,46.905983
10038,54.31202,54.37175799999999,62.78351,46.57241,46.689312
10043,65.66754,57.73376999999999,60.809002,45.68717,57.64621999999999
10045,52.639922999999996,54.47829399999999,59.44866999999999,48.640656,51.001495
10047,62.023117000000006,54.51764,62.133865,42.342785,54.039516000000006
10048,51.08586,49.580677,60.818012,47.535526000000004,57.35553
10050,54.052914,52.700559999999996,61.00085,49.810383,51.732395000000004
10052,51.981705,51.55791,57.214516,48.553036,53.92896700000001
10053,45.241737,50.833603000000004,60.506035,52.15508,56.79211
10055,35.296562,44.165646,59.825974,47.22497,55.912532999999996
10057,48.350124,49.538579999999996,54.32357,44.788765000000005,51.048664
10059,53.822113,51.57979,59.67243199999999,45.428329999999995,42.533276
10060,57.279180000000004,55.60216,58.6688,50.340576,52.345886
10062,42.90293,49.04888,58.78994,50.122707,52.010548
