Id,age,domain1_var1,domain1_var2,domain2_var1,domain2_var2
10001,59.5808506667844,55.30884027738132,59.92109510502204,51.9468990335746,50.26292162206518
10002,57.4360770738362,51.97795248801635,58.92191214458337,47.523004058996804,53.4867286627979
10004,57.4360770738362,52.15640140139725,60.80074030408581,49.950492022336114,49.73228408976819
10005,64.2031069380242,,,47.96095101618921,54.99213907355885
10007,40.1293606590094,50.22105065182566,58.70429806059352,46.040887318720245,51.34618381455344
10008,41.5172025422158,44.40975688692169,60.96544689796311,51.27286834500245,52.467381684537365
10009,55.45697773245181,54.74100278897183,61.26535576925803,49.52387719155557,49.257684782076204
10015,64.2031069380242,53.78374237076351,60.38397604009123,54.43690324609486,46.58653990773276
10017,41.5172025422158,48.76931915518895,59.832601295606096,46.740260171728146,55.97759761839692
10019,30.997382663281805,50.66902975613163,59.78502820101513,49.0543994369383,51.1977009068637
10025,50.42774666398021,52.575277170940474,58.89221056948685,43.3725660995638,51.63389396233634
10026,41.5172025422158,49.57907360993578,59.936411690665324,50.986415931916135,53.46776215709217
10031,61.8113816704625,,,51.299459174717256,52.04539073520521
10032,57.4360770738362,52.243565503948325,60.62834418971781,49.6890771658232,46.20284410114739
10039,42.9411536893684,51.383027462451295,60.0164134372375,54.03099514067925,53.17633505489833
10040,35.3265819044859,47.811864842830275,59.661795794298925,45.54667258635369,53.865237071234205
10041,36.9611738903941,,,44.80269072254368,50.36111605754262
10042,35.3265819044859,42.961939766743754,60.50791306400004,47.21227108405509,51.12981471458264
10044,55.45697773245181,55.14641921077895,60.32914204749085,47.07356301311571,53.992757733971224
10046,47.47020319119601,55.894181144791204,58.21086620245677,49.43806562795714,52.927568143276474
10049,48.948756262021504,47.195345308910134,60.934878346610034,51.256941094133865,50.898443171142766
10051,36.9611738903941,51.18416727095929,60.29345196502635,47.724991404277226,53.38084323617818
10054,57.4360770738362,53.81897302703812,59.569897978057206,51.37382898583489,52.52449791431776
10056,38.617380566579705,44.40675583801484,61.243594920253074,48.588121726630966,52.76799278004492
10058,36.9611738903941,53.444950653550514,60.960803005774046,50.126788342499296,53.14070784424114
10061,59.5808506667844,50.90364758129852,60.291713036137466,48.506759578741246,54.74817439343806
10063,59.5808506667844,51.34734842534365,59.98041958128231,47.65501069953915,54.38584551209175
10064,42.9411536893684,,,45.55992645745727,57.94427491286108
10065,61.8113816704625,48.28637602542465,60.68456356667324,48.9668366660777,52.14956199663832
